County,year,scenario,ref_annual_change,annual_change,change_mult
El Dorado,2030,ssp5,3.5,4.5,1.2857142857142858
El Dorado,2040,ssp5,3.5,5.4,1.542857142857143
El Dorado,2050,ssp5,3.5,6.6,1.8857142857142857
El Dorado,2060,ssp5,3.5,10,2.857142857142857
El Dorado,2070,ssp5,3.5,9.3,2.6571428571428575
El Dorado,2080,ssp5,3.5,7.2,2.0571428571428574
El Dorado,2090,ssp5,3.5,6.3,1.8
El Dorado,2100,ssp5,3.5,5.7,1.6285714285714286
Fresno,2010,ssp2,5.1,5.1,1
Fresno,2020,ssp2,5.1,4.8,0.9411764705882353
Fresno,2030,ssp2,5.1,5.8,1.1372549019607843
Fresno,2040,ssp2,5.1,5.8,1.1372549019607843
Fresno,2050,ssp2,5.1,4.8,0.9411764705882353
Fresno,2060,ssp2,5.1,4.3,0.8431372549019608
Fresno,2070,ssp2,5.1,4.5,0.8823529411764707
Fresno,2080,ssp2,5.1,2.9,0.5686274509803921
Fresno,2090,ssp2,5.1,1.9,0.37254901960784315
Fresno,2100,ssp2,5.1,0.7,0.13725490196078433
Fresno,2010,ssp5,5.1,5.1,1
Fresno,2020,ssp5,5.1,7.9,1.5490196078431375
Fresno,2030,ssp5,5.1,8.5,1.6666666666666667
Fresno,2040,ssp5,5.1,11.1,2.1764705882352944
Fresno,2050,ssp5,5.1,10,1.9607843137254903
Fresno,2060,ssp5,5.1,11.8,2.3137254901960786
Fresno,2070,ssp5,5.1,11.3,2.215686274509804
Fresno,2080,ssp5,5.1,8.4,1.647058823529412
Fresno,2090,ssp5,5.1,9.6,1.8823529411764706
Fresno,2100,ssp5,5.1,7.2,1.411764705882353
Glenn,2010,ssp2,0.3,0.3,1
Glenn,2020,ssp2,0.3,0,0
Glenn,2030,ssp2,0.3,0.2,0.6666666666666667
Glenn,2040,ssp2,0.3,0.1,0.33333333333333337
Glenn,2050,ssp2,0.3,0.3,1
Glenn,2060,ssp2,0.3,0.3,1
Glenn,2070,ssp2,0.3,0.2,0.6666666666666667
Glenn,2080,ssp2,0.3,0,0
Glenn,2090,ssp2,0.3,0.2,0.6666666666666667
Glenn,2100,ssp2,0.3,0,0
Glenn,2010,ssp5,0.3,0.3,1
Glenn,2020,ssp5,0.3,0.3,1
Glenn,2030,ssp5,0.3,0.2,0.6666666666666667
Glenn,2040,ssp5,0.3,0.2,0.6666666666666667
